state_idx,cos_sim,mean_A,mean_g_norm_sq,v_unbiased_norm,v_intentional_norm
40,0.8944891271926054,-0.018768909821416147,160849.14170117187,0.9637284874916077,4.612973498296924e-06
41,0.975212120679378,-0.008061282167110653,173072.1783076172,0.6969170570373535,4.34676030636183e-06
42,0.9530898592250957,0.013152099149118572,211180.79713671876,0.6399157643318176,3.1024369491206016e-06
43,0.9785875223387552,0.0024819452562206785,172713.6573183594,0.6879620552062988,4.080366579728434e-06
44,0.9800666636564729,-0.0017342624182542887,203067.08962304686,0.7366079688072205,3.537723159752204e-06
45,0.9488869472834238,0.007255459007821756,243704.27856054687,0.7781943678855896,2.7337600840837695e-06
46,0.9708105706915092,0.01705677132464549,311212.72061328124,1.2336586713790894,5.044321369496174e-06
47,0.7247791751839827,0.05094893092673563,330141.6631220703,1.0218547582626343,5.1660217650351115e-06
48,0.8785704008937595,0.06424306424423111,223366.79166015625,1.5944125652313232,1.6427533410023898e-05
49,0.5324025248951695,-0.08237796813521453,129320.1283671875,1.308675765991211,2.453034176141955e-05
50,0.7990783191520557,-0.016158854682326935,107079.7235,0.47485747933387756,6.0031734392396174e-06
51,0.7800639188515106,0.020531466449638137,95944.48203320312,0.51856529712677,6.46322450847947e-06
52,0.4813953249894714,0.02390286209227278,124605.523453125,0.26369521021842957,3.4999411582248285e-06
53,0.7276020584924083,0.02915762241687899,147570.3899921875,0.6522043943405151,4.38326969742775e-06
54,0.9875364982887834,0.0021371031915558445,188100.76258203125,0.24911700189113617,1.379774175802595e-06
55,0.919865662142551,-0.0012638174495883691,248509.2848408203,0.07262004166841507,2.8210470759404416e-07
56,0.784606529331831,-0.020954217213552773,328095.15695117187,0.7738908529281616,3.0164351301209535e-06
57,0.8590222362686838,0.03267560076735133,261911.94832421874,1.5366467237472534,6.735774604749167e-06
58,0.9923432838574849,0.006443218907258787,268852.558703125,4.608752727508545,1.578139745106455e-05
59,0.6275263905660294,-0.01516303385226263,92085.25962792968,0.27555763721466064,5.143124326423276e-06
60,0.9327065796891798,0.00758129795585535,131079.41713671875,0.5241526365280151,4.277355401427485e-06
61,0.937876876810559,0.011025797556820885,130235.14034082032,0.5335297584533691,4.364811957202619e-06
62,0.9803453265797677,0.0028804734606311154,165263.48321875,0.2990034520626068,1.8103668253388605e-06
63,0.9181293707550103,-0.027019132685968856,157690.83033300782,0.9094775319099426,7.293850558198756e-06
64,0.8375714876786461,0.04941661564861182,169634.06990722657,1.0535328388214111,7.501744221372064e-06
65,0.8157062045867429,0.013441881001013432,172499.03682421875,0.2746051251888275,2.264649765493232e-06
66,0.650951962493512,0.01802525108420586,226646.57407421875,0.4396630823612213,2.0980273802706506e-06
67,0.9784395658399859,0.0033262275974754577,287922.0055546875,0.8007646799087524,2.8589367957465583e-06
68,0.6161353759869155,0.04960828191731661,309054.3704160156,0.9834264516830444,5.489592240337515e-06
69,0.9250710185928864,-0.0028460614297924807,274891.3999736328,0.34392574429512024,1.1720376278390177e-06
70,0.7725183933450038,0.038747128905287795,228927.70891015625,1.794263482093811,9.61157275014557e-06
71,0.9785680665866555,0.0008997051883903055,122825.15897070312,0.09686081856489182,8.538323754692101e-07
72,0.9915174744676695,-0.0015282243429530005,100499.25854589844,0.20002883672714233,2.1749399365944555e-06
73,0.6765714793134615,-0.005455194064644561,120436.48840527344,0.10146027058362961,1.0241539030175772e-06
74,0.9383669410180419,-0.0038608861846376502,141007.71064648437,0.1499573290348053,9.38428229346755e-07
75,0.9957773949063754,0.0021018993955141782,158998.69241992186,0.38105207681655884,2.511544380467967e-06
76,0.9955850627405224,-0.0009804877435501589,159571.88938867187,0.2590867578983307,1.5952271041896893e-06
77,0.6384134166130196,0.013653165378727483,198543.56582617186,0.17671725153923035,1.6865093357409933e-06
78,0.9915929783674452,-0.001410459583177741,358468.7777578125,1.0015487670898438,2.8154358915344346e-06
79,0.9739726738346532,0.0046704156137224425,303661.6724101562,1.2416818141937256,4.565715244098101e-06
80,0.9723174241746363,-0.014946815430147083,231257.43029101563,2.6576108932495117,1.1092542081314605e-05
81,0.9614279602031444,-0.007474335814394875,214096.2734160156,0.9914566874504089,5.215336386754643e-06
82,0.9935287882766805,-0.0018011178385283736,117646.41698828126,0.7439699769020081,6.696681339235511e-06
83,0.6657440363319406,-0.027344800481963787,125214.10634960937,0.5045188069343567,6.86064277033438e-06
84,0.5588412203361648,0.03489841978989739,130230.25915234374,0.3305053114891052,5.0239686970598996e-06
85,0.9070188638436848,0.008336806021031616,145361.22426660155,0.30366048216819763,2.6316940875403816e-06
86,0.9520663230609148,-0.007800809173129733,216734.843671875,0.5115926861763,2.6072607397509273e-06
87,0.9529650226747917,0.01081113212723876,324375.7219804688,0.8729448318481445,2.8730871690640924e-06
88,0.9565559889082393,0.009121466334076924,295614.59675976564,0.7279124855995178,3.123698434137623e-06
89,0.6225312747766828,0.057287596463721585,288857.7247109375,1.9453867673873901,8.379241080547217e-06
90,0.9613187816404275,-0.008169537924371313,263662.6671640625,0.9299065470695496,3.43499982591311e-06
91,0.8682256610538113,-0.00932566111698067,125693.01707128907,0.3232954144477844,2.9357777293625986e-06
92,0.9819023676670499,-0.005008235280157229,134121.38931738283,0.424262136220932,3.377896973688621e-06
93,0.8505673732482535,0.012563956146206394,143130.2827636719,0.34170469641685486,2.8546894554892788e-06
94,0.9834898085092401,-0.003289846404775706,162930.4102216797,0.51274174451828,3.7000036172685213e-06
95,0.7392283291287194,-0.01395912573117776,183691.44816796875,0.273373007774353,1.8561613615020178e-06
96,0.98057793507957,0.003939609228205516,265789.0795507812,0.561933696269989,2.076384589599911e-06
97,0.9276998255652656,0.012924196643991361,388425.31086328125,0.8133646845817566,2.282989271407132e-06
98,0.7480184266866294,-0.05822822663705829,293352.6927910156,2.8684542179107666,1.18575617307215e-05
99,0.23349659852453952,0.06090637582430223,188389.3781435547,1.0296992063522339,1.1311158232274465e-05
100,0.899771589433348,0.006647873589338419,111844.94969726562,0.28803637623786926,2.8253825803403743e-06
101,0.9357065506044797,0.016568584448356554,116858.14229394532,0.8226479887962341,7.643726348760538e-06
102,0.9395373956809612,0.00335233214343783,131795.71878222656,0.15140150487422943,1.140351969297626e-06
