env,seed,n_states,n_actions,mean,std,median,pct20,pct5,pct1,git_hash,train_wall_clock_sec,measure_wall_clock_sec
Ant-v4,0,1000,1000,0.7566702926016882,0.24697541439549722,0.8271195386833341,0.5963475447634952,0.25350955604127495,-0.04154855086639535,b593aa7899fef67b1803cef1bddedd22d1629a72,1280.8,598.5
Ant-v4,1,1000,1000,0.7810197516815164,0.23580383564289856,0.8566233618544106,0.6272573771235037,0.31589699503422286,-0.16366259828394106,b593aa7899fef67b1803cef1bddedd22d1629a72,1272.8,600.2
Ant-v4,2,1000,1000,0.7290736568637082,0.26839134345881516,0.8020963682061937,0.5379765744224695,0.1558386142276842,-0.14427930411817327,b593aa7899fef67b1803cef1bddedd22d1629a72,1268.8,602.0
Ant-v4,pooled,1000,1000,0.7555879003823043,0.25165132836667986,0.8283938845418226,0.5849115200748248,0.24723126599670392,-0.13840541235887185,b593aa7899fef67b1803cef1bddedd22d1629a72,,
