env,seed,n_states,n_actions,mean,std,median,pct20,pct5,pct1,git_hash,train_wall_clock_sec,measure_wall_clock_sec
Ant-v4,0,1000,1000,0.7566702926016882,0.24697541439549722,0.8271195386833341,0.5963475447634952,0.25350955604127495,-0.04154855086639535,b593aa7899fef67b1803cef1bddedd22d1629a72,1280.8,598.5
Ant-v4,1,1000,1000,0.7810197516815164,0.23580383564289856,0.8566233618544106,0.6272573771235037,0.31589699503422286,-0.16366259828394106,b593aa7899fef67b1803cef1bddedd22d1629a72,1272.8,600.2
Ant-v4,2,1000,1000,0.7290736568637082,0.26839134345881516,0.8020963682061937,0.5379765744224695,0.1558386142276842,-0.14427930411817327,b593aa7899fef67b1803cef1bddedd22d1629a72,1268.8,602.0
Ant-v4,3,1000,1000,0.731892250333175,0.26291005824384883,0.8106454091244212,0.5357151740967848,0.21457345390038995,-0.0667397079450629,20f067797c637533f15c86a7618126f757cfb3fd,2593.1,1141.3
Ant-v4,4,1000,1000,0.6682142536422171,0.28772614616555886,0.730050352211951,0.4401968079608849,0.10757078321871183,-0.21303171703739487,20f067797c637533f15c86a7618126f757cfb3fd,2581.9,1152.4
Ant-v4,5,1000,1000,0.7622784824785408,0.2506561381928805,0.8485405328148139,0.5960938756792018,0.27498842537382456,-0.11575610403077878,20f067797c637533f15c86a7618126f757cfb3fd,2576.2,1147.6
Ant-v4,6,1000,1000,0.7928979512382666,0.20992284418379029,0.8498868226051158,0.6536757919239123,0.38818588483109795,0.14056017385298178,20f067797c637533f15c86a7618126f757cfb3fd,2580.0,1136.5
Ant-v4,7,1000,1000,0.7801487407564209,0.23237520770313738,0.8540524131034828,0.6079638357035556,0.29319838213135047,0.0335778252821456,20f067797c637533f15c86a7618126f757cfb3fd,2576.8,1139.1
Ant-v4,8,1000,1000,0.787355372462407,0.21354819992787924,0.8519904591926497,0.6470417921080309,0.3529213041589256,0.06828694712550554,20f067797c637533f15c86a7618126f757cfb3fd,2585.5,1150.0
Ant-v4,9,1000,1000,0.7144576975916639,0.2936266773635866,0.8082114094722097,0.5010151871541492,0.08756839739785495,-0.24986400187327504,20f067797c637533f15c86a7618126f757cfb3fd,2603.1,1146.0
Ant-v4,10,1000,1000,0.7285331040098032,0.2908732673319092,0.8307090628493761,0.5285157870553561,0.11260789587094519,-0.281669601892549,20f067797c637533f15c86a7618126f757cfb3fd,2585.8,1146.8
Ant-v4,11,1000,1000,0.7740485216544996,0.23688598831712207,0.8505699714841897,0.6189095962725368,0.29275584769606405,-0.009685352257604762,20f067797c637533f15c86a7618126f757cfb3fd,2363.2,1095.9
Ant-v4,12,1000,1000,0.7734720778311227,0.24976875659552059,0.8589631296630604,0.6046504093131706,0.28467404414267805,-0.16038784449944968,20f067797c637533f15c86a7618126f757cfb3fd,2358.1,1097.2
Ant-v4,13,1000,1000,0.826217891791683,0.20208139712042844,0.8979164876181323,0.6946970651677868,0.43619267013813084,0.049936666280820864,20f067797c637533f15c86a7618126f757cfb3fd,2365.7,1100.9
Ant-v4,14,1000,1000,0.7467800530452512,0.25321177112595217,0.8243214975528801,0.5760180429930867,0.22091596649549775,-0.11934203951703454,20f067797c637533f15c86a7618126f757cfb3fd,2352.5,1095.7
Ant-v4,15,1000,1000,0.7369957281618302,0.2567506476278988,0.8060616326102824,0.5556827092734627,0.19128888975734476,-0.05718483981192814,20f067797c637533f15c86a7618126f757cfb3fd,2374.8,1101.1
Ant-v4,16,1000,1000,0.756908709520945,0.24560045996359156,0.8216465870638221,0.5833218498803017,0.24689910930122147,-0.024617150131473472,20f067797c637533f15c86a7618126f757cfb3fd,2373.7,1088.4
Ant-v4,17,1000,1000,0.6962871897184958,0.2990251743451209,0.7833435492069816,0.49716564937260155,0.07593902787594836,-0.2825072274408451,20f067797c637533f15c86a7618126f757cfb3fd,2361.3,1094.5
Ant-v4,18,1000,1000,0.7931642889344498,0.2269134466573524,0.865966798921628,0.6459393352203362,0.355729572684275,-0.0140844817800879,20f067797c637533f15c86a7618126f757cfb3fd,2357.9,1090.0
Ant-v4,19,1000,1000,0.7585968426652933,0.24987963459159557,0.8405286121178979,0.5925697259552434,0.23503356194494024,-0.06065910603811757,20f067797c637533f15c86a7618126f757cfb3fd,10386.0,5435.5
Ant-v4,20,1000,1000,0.7832939937526652,0.2153914036894084,0.8492936484052851,0.6331209075272128,0.36995026601452796,0.0654105429570289,20f067797c637533f15c86a7618126f757cfb3fd,10386.9,5428.8
Ant-v4,21,1000,1000,0.7637170933699174,0.24156509471882684,0.83944153750396,0.6039664626564208,0.2888289350872015,-0.044431681376634675,20f067797c637533f15c86a7618126f757cfb3fd,10393.1,5436.1
Ant-v4,22,1000,1000,0.7865590428686664,0.22223265581766943,0.8474890493253412,0.6422312646673082,0.3471797167362268,0.0028381498487904536,20f067797c637533f15c86a7618126f757cfb3fd,10379.6,5422.5
Ant-v4,23,1000,1000,0.7043740908297441,0.26384510798589933,0.7604653528234488,0.5024123190255946,0.18792728384578608,-0.11648893483352159,20f067797c637533f15c86a7618126f757cfb3fd,10436.1,5391.2
Ant-v4,24,1000,1000,0.807518055607011,0.20628651693406214,0.8687523710710827,0.6752034684263262,0.414084975610961,0.11892983708213285,20f067797c637533f15c86a7618126f757cfb3fd,10431.2,5384.7
Ant-v4,25,1000,1000,0.8309381357153152,0.19997028195851532,0.911876261431223,0.6920478930635957,0.4225042444222623,0.1283892317823917,20f067797c637533f15c86a7618126f757cfb3fd,10382.4,5446.1
Ant-v4,26,1000,1000,0.7793064468674001,0.24509841433055438,0.8682009495395488,0.6330896212522287,0.2500703504068633,-0.002092168407941743,20f067797c637533f15c86a7618126f757cfb3fd,10422.8,5389.5
Ant-v4,27,1000,1000,0.7578686125023203,0.261595979800145,0.8423990582352304,0.5814360485828572,0.2072196122873741,-0.10426926689543982,20f067797c637533f15c86a7618126f757cfb3fd,3358.2,605.7
