state_idx,cos_sim,mean_A,mean_safe_delta,mean_sigma_i,mean_alpha_i,v_unbiased_norm,v_intentional_norm
0,0.6580323091298288,-0.03993942572805557,-1.3556988991256216,43733.559425292966,1.5857790741031682e-06,28.68084716796875,4.559784065349959e-05
1,0.8229354823317875,-0.025944550078712072,-0.8806585808095918,43116.916731445315,1.614204261995249e-06,38.583587646484375,5.883414269192144e-05
2,0.9589467087082535,0.02202157765645918,0.7474976928599056,45114.90223779297,1.5656189977072936e-06,51.82176208496094,8.464362326776609e-05
3,0.7200555362595641,-0.07111462465842082,-2.413905973951683,48982.39356933594,1.5076426374574416e-06,47.22773361206055,0.00010613253834890202
4,0.8899973096906083,0.09174013852795714,3.114015851274948,67199.46190917969,1.2868994850771783e-06,59.18882369995117,0.0001622048148419708
5,0.9714636021368366,0.007052431584011329,0.2393868604847462,45350.91287451172,1.546836386828639e-06,15.058116912841797,2.1503801690414548e-05
6,0.9946839115702882,0.0022574713524262857,0.07662732679559088,53410.45304199219,1.4198328131753473e-06,16.870864868164062,2.0585061065503396e-05
7,0.9713184771502761,-0.006470029275583592,-0.2196178689684492,66089.14465429688,1.28862524505709e-06,21.947420120239258,2.6543517378740944e-05
8,0.590996744477237,-0.038505078537467666,-1.3070115964967808,97260.72759960938,1.0616279270720288e-06,46.98711013793945,5.8679554058471695e-05
9,0.5135814227108478,0.05665490533390828,1.9230870597443883,41569.913513671876,1.6296024713821163e-06,15.568804740905762,8.616634295322001e-05
10,0.7181274593406204,0.04533950107517211,1.5389983850303162,42877.60629248047,1.601087644316305e-06,22.20500946044922,5.251450420473702e-05
11,0.6373280299986491,-0.07780653830797414,-2.6410554585115062,36071.99995117188,1.7464732430811396e-06,15.511024475097656,6.573575956281275e-05
12,0.9940539663818334,-0.0033123747783850364,-0.11243483747423152,45254.369061035155,1.55148386536587e-06,13.805440902709961,1.86499619303504e-05
13,0.7534525020580302,-0.021807915554962996,-0.7402451730626626,35220.069046875,1.7707685246238972e-06,17.121856689453125,2.4426182790193707e-05
14,0.8549827991783593,-0.024188698601458895,-0.8210581766638679,30305.640912109375,1.873374131481489e-06,24.940282821655273,5.042819248046726e-05
15,0.9952691229658758,-0.0011828006745535037,-0.040148838976691366,40640.36094433594,1.6257632943897362e-06,11.311466217041016,1.6418865925516002e-05
16,0.5568018152044145,-0.02049742134301746,-0.6957619205356473,45320.039456054685,1.5459909027174724e-06,14.920879364013672,2.6690388040151447e-05
17,0.9126889005896506,-0.013910487832756205,-0.4721758687662046,47685.449137695316,1.5101006678045038e-06,23.577425003051758,4.057942715007812e-05
18,0.49716741420578975,0.053647439026379216,1.8210019974794471,27483.377649902344,2.022748756434866e-06,22.892301559448242,8.582609007135034e-05
19,0.7246575395195929,0.026983937453725848,0.9159394165848899,33129.45933984375,1.8543387603007153e-06,14.361364364624023,3.0513076126226224e-05
20,0.9001635328131439,0.011237010260408496,0.3814276785857224,37643.25015771484,1.7044140493529368e-06,9.184699058532715,1.6265919839497656e-05
21,0.9976183944949051,-0.0015364199572062635,-0.05215204792281254,29833.45229736328,1.9288700339304016e-06,10.954620361328125,1.818607051973231e-05
22,0.9190215569466191,0.006451914874776323,0.21900299600057166,18182.90913769531,2.452706717192752e-06,8.139769554138184,1.9009523384738714e-05
23,0.9721346818725545,0.006067070340328099,0.20593988099139726,35546.00850683594,1.7607966485574977e-06,17.44080352783203,2.7432237402535975e-05
24,0.8184836070292114,-0.08425694307046688,-2.8600071954485564,24674.853601074217,2.1164312412033268e-06,57.42681884765625,0.00014308215759228915
25,0.9915989337555114,-0.0019421015409495906,-0.06592245314148423,32952.03055761719,1.8313615892989879e-06,6.955834865570068,1.109825461753644e-05
26,0.7090559094510506,0.016874691601378194,0.5727924327916105,42850.14624365234,1.615470431545579e-06,8.629631996154785,1.683989648881834e-05
27,0.939290933885238,-0.008754812590871136,-0.2971722696342575,49734.25428759766,1.4895644576131661e-06,9.822861671447754,1.2950081327289809e-05
28,0.8173859864358143,0.01561318402516536,0.5299719765347991,41369.257010742185,1.6183101087530212e-06,8.910684585571289,1.4501259101962205e-05
29,0.6842398843698826,0.02310239104271333,0.7841846880080534,27210.079512695313,2.048819973666749e-06,9.41549301147461,2.3380009224638343e-05
30,0.9598848233072488,0.01562822332049451,0.5304824685048184,26648.166926269532,2.0436993730504156e-06,21.911584854125977,4.4027037802152336e-05
31,0.8012111883046947,-0.0244578587329722,-0.8301945146889981,41472.09771826172,1.6252546138351937e-06,10.702458381652832,2.498389767424669e-05
32,0.9988166630272381,-0.00028103585213520475,-0.00953944600878158,30678.510244628906,1.9034743521501696e-06,5.9696502685546875,9.214683814207092e-06
33,0.7480200128468514,-0.02158504623280848,-0.7326801245126152,30852.456216308594,1.8900773168985599e-06,12.623537063598633,3.20718863804359e-05
34,0.7499693406213741,0.012514164594059119,0.4247792464308108,29644.683572265625,1.918036033633103e-06,5.130638122558594,1.3287652109283954e-05
35,0.8305618970101154,0.023348391900990053,0.7925349105430621,35069.503192871096,1.776272615062678e-06,10.981345176696777,2.5758996343938634e-05
36,0.6655073881196509,-0.006153988573610479,-0.2088902226907796,45418.44842578125,1.5809038869938419e-06,3.0437052249908447,5.421030436991714e-06
37,0.7404414247591868,0.03928109369601719,1.3333525585154553,35222.64465673828,1.7682302423137339e-06,28.870277404785156,5.0124155677622184e-05
38,0.9094725031060817,0.010048096892801908,0.3410713511163525,27760.80956298828,2.0225754040430467e-06,7.021799564361572,1.6945503375609405e-05
39,0.7152866720550828,-0.02866502613377608,-0.9730020816415815,27854.664304199217,2.0020589996019837e-06,13.912317276000977,2.56948551395908e-05
40,0.6944962622039133,-0.04659915621499614,-1.5817559624167572,34612.50780664063,1.7983779981379e-06,19.4027099609375,4.2183412006124854e-05
41,0.9560413846729487,-0.01303793224543561,-0.4425579504413175,22149.576025878905,2.2113448559764592e-06,20.45089340209961,4.4356464059092104e-05
42,0.9836916497851749,-0.012359790586447794,-0.4195391943179614,27144.70895996094,2.00831476839631e-06,29.43120574951172,4.7671586798969656e-05
43,-0.6102349100101284,-0.13604690327156704,-4.617959162721608,28155.40671386719,1.9651684564512976e-06,39.32924270629883,8.025129500310868e-05
44,0.7026030881686639,-0.04529762403429655,-1.5375769159636297,37978.59378125,1.7076707354636692e-06,24.975053787231445,5.494983270182274e-05
45,0.1359373052241814,0.10468011023383288,3.5532486413460758,37413.95204345703,1.7224242644310722e-06,16.254261016845703,7.779314182698727e-05
46,0.5240390359522591,0.030252219568981158,1.026877578186226,39452.98404052734,1.6799851266314585e-06,7.677757263183594,2.218801819253713e-05
47,0.6260392556865141,0.037516025547265644,1.2734393048187884,38472.435064941405,1.6963495329896564e-06,15.280097961425781,2.833096732501872e-05
48,0.9977084973910003,0.0016152783077542953,0.05482880596517295,49845.87051953125,1.4834386060645913e-06,10.993030548095703,1.416803388565313e-05
49,0.6165562250865974,0.05892386421925554,2.000104317928594,43951.13020800781,1.6026598789036597e-06,12.430627822875977,4.3069234379800037e-05
50,0.9427069056714227,0.016594556586651953,0.5632835646957898,34626.28626171875,1.7979776086527368e-06,27.340538024902344,4.7713205276522785e-05
51,0.9983615364986337,0.0006309768256984567,0.02141779888868779,38509.69196142578,1.6751172747345822e-06,9.675029754638672,1.4126560017757583e-05
52,0.9971437366925319,0.0010030062902563715,0.034045920759483005,29357.092145507813,1.935086199173201e-06,9.45533561706543,1.5475314285140485e-05
53,0.8656323549330909,-0.012352042846920675,-0.4192762060111404,38570.277009765625,1.7047467169468247e-06,9.043000221252441,1.4384954738488887e-05
54,0.8935420659186835,0.014416589918624604,0.48935493501840155,24308.58178637695,2.1457786042903245e-06,10.239919662475586,2.2337209884426557e-05
55,0.8479977695212099,0.01419815650093857,0.481940458257881,29186.54919921875,1.9395718225911385e-06,5.762303829193115,1.4885957170918118e-05
56,0.9535189697276555,0.004702711820819359,0.15962826510826347,30679.071586914062,1.8983003276951054e-06,5.230074882507324,9.01102066563908e-06
57,0.9682312766564255,-0.0021091898127876155,-0.07159407665780566,38546.9833930664,1.6872737180717213e-06,2.697620391845703,3.978207132604439e-06
58,0.5939542151447602,0.03254363952010259,1.1046572519932947,36776.02910400391,1.7374258531816741e-06,4.081616401672363,2.1201787603786215e-05
59,0.9013670013019133,-0.010933697919400735,-0.3711320822094684,31822.75949658203,1.879989116510123e-06,9.034385681152344,1.3434337233775295e-05
60,0.4747439345348714,0.04654082171341521,1.5797758633509171,36467.997660644534,1.744487542564616e-06,12.136894226074219,2.9314596758922562e-05
61,0.554759526132703,0.0771117671240388,2.6174722318617625,28644.92340966797,1.9897468567869443e-06,26.38502311706543,7.74577129050158e-05
62,0.8123466397452055,-0.018782932284023474,-0.6375655171705299,38614.67886230469,1.6770280159849414e-06,12.857855796813965,2.2555428586201742e-05
63,0.7775012619204273,-0.007098591873946949,-0.24095371962476336,26749.699654296874,2.0344896073701973e-06,5.605251312255859,9.415639397047926e-06
64,0.6691695017032259,-0.010514805247722575,-0.3569132414651721,23740.909342285155,2.1566379982744342e-06,5.315215587615967,1.0388287591922563e-05
65,0.9035204360397187,0.011046693556315216,0.3749675920541518,28026.838833496095,2.0035835197374394e-06,7.952918529510498,1.9220808098907582e-05
66,0.9141293770674279,0.01346453937346609,0.45703864973248937,35002.67110644531,1.7814098306238775e-06,11.486920356750488,1.8898519556387328e-05
67,0.9746190417629607,0.0029143485701208153,0.09892428536862366,34787.639654785155,1.7684250961106209e-06,4.916236400604248,7.196668320830213e-06
68,0.9991528888143216,-0.0005094900281326549,-0.01729406614301235,46051.515552734374,1.5488736957303276e-06,9.63306999206543,1.3063577171124052e-05
69,0.3925675442312129,-0.1011803232988273,-3.434452308938412,30047.329797851562,1.914405588220911e-06,32.13735580444336,0.00011265749344602227
70,0.7542943366642041,0.03564218141861588,1.2098337727903445,31867.30510205078,1.8553297432363858e-06,24.80438804626465,4.743652243632823e-05
71,0.5989421128895521,0.04786851029750264,1.6248427595072286,35100.87928173828,1.7699314816885022e-06,12.831557273864746,4.038767292513512e-05
72,0.6574782783454476,-0.02620906246486301,-0.8896371563442423,36900.87157226563,1.7087829722436049e-06,15.359039306640625,3.0088634957792237e-05
73,0.30679379650514166,-0.027624220258453902,-0.9376730964682521,27224.65384375,2.007279825032543e-06,10.863730430603027,3.543839920894243e-05
74,0.8040710540583634,-0.017391720568941282,-0.5903423997569333,33834.37843994141,1.8324065281429993e-06,18.4392147064209,3.4264594432897866e-05
75,0.9851449368172169,0.0033787118204442125,0.11468657377868471,31997.408232421876,1.827709795495383e-06,15.51164436340332,2.4622826458653435e-05
76,0.8815080736826776,-0.011363330244859004,-0.38571546842584575,35519.98650097656,1.764296854008852e-06,11.909808158874512,2.1625137378578074e-05
77,0.7056828598459217,0.05388135364459846,1.8289419661852677,41262.06926708984,1.6336894736888141e-06,13.100088119506836,6.027103154337965e-05
78,0.8241598828082292,0.014957490321787557,0.5077151910245242,34374.98974023438,1.7807305154301125e-06,9.072419166564941,1.859980693552643e-05
79,0.7329169975471959,0.043080235195543166,1.4623101450265668,35174.77729638672,1.7679919150022104e-06,35.71683883666992,6.631729775108397e-05
80,0.9055713862924205,0.026220950312479858,0.8900406759651018,35812.41339501953,1.7594141559086805e-06,25.059268951416016,4.4944074033992365e-05
81,0.6439015321741638,-0.05898458831299573,-2.002165529013464,24167.102329345704,2.1531247301127603e-06,14.456780433654785,5.576123294304125e-05
82,0.9866663139540202,-0.007676671000182065,-0.2605759655824446,34417.80244238281,1.8014187152911183e-06,16.74102020263672,2.9889222787460312e-05
83,0.818092177190855,0.014120007339936565,0.4792877728572598,31055.957665527345,1.862956804352885e-06,6.374918460845947,1.6931611753534526e-05
84,0.7708074655078205,-0.014878413807746991,-0.505031027667709,26468.12468359375,2.014207232938499e-06,7.181900978088379,2.2138172425911762e-05
85,0.783178772606051,0.02189064811189004,0.7430534366844666,29914.221061523436,1.9540347707288113e-06,14.399374008178711,4.034005178255029e-05
86,0.8174794177403808,0.008575125195779165,0.2910729830453215,25386.49278417969,2.0932605499020993e-06,8.375082969665527,1.732421515043825e-05
87,0.281620256514813,0.03499027040366623,1.1877053863855729,28657.69487548828,1.9581830383215293e-06,8.448758125305176,2.955229501822032e-05
88,0.9263311130520239,-0.00373822272562622,-0.1268897672271207,40357.39350341797,1.6548758326172651e-06,4.66304874420166,6.463735189754516e-06
89,0.1069552223040003,0.031017207569815283,1.0528442357350005,45568.08329931641,1.5974250544076583e-06,7.9384446144104,2.180518458771985e-05
90,0.9009163626033364,0.008242742065265842,0.27979061140600403,27183.640515625,2.0232986276736575e-06,8.535737037658691,1.6169455193448812e-05
91,0.7015889341198874,0.026217017255618705,0.8899071727722127,21915.99122705078,2.261234007318512e-06,6.8842315673828125,2.7885305826202966e-05
92,0.9729196382365065,0.011492702332605834,0.3901068584806296,38496.416310546876,1.7059157551509298e-06,16.136350631713867,2.7519861760083586e-05
93,0.8869817520064904,-0.004922347386241791,-0.16708354742202144,44862.208962890625,1.5566118418355678e-06,6.5527215003967285,9.878614037006628e-06
94,0.5666938108242302,-0.016124210258010516,-0.5473181874194948,25768.055377441407,2.079754525109885e-06,10.601877212524414,1.70070597960148e-05
95,0.8465443393241134,0.01616666747508417,0.5487593499148847,32283.59216796875,1.8654124312715275e-06,11.078393936157227,2.8746424504788592e-05
96,0.8841458697529215,-0.013042876376657742,-0.4427257734165554,37655.34336279297,1.7071361586914607e-06,15.60244083404541,2.2654863641946577e-05
97,0.6276429704996943,0.06178710459941132,2.0972937932540376,39764.27319091797,1.6547849585271402e-06,15.548136711120605,5.6685654271859676e-05
98,0.885655505137826,0.004926777430612829,0.16723392029712952,40195.10718945313,1.6536828963653259e-06,4.404024600982666,6.769525953131961e-06
99,0.6925680312680826,0.016905497607170285,0.5738381080204724,55764.65147949219,1.4044921125056577e-06,6.72678279876709,1.3091891560179647e-05
100,0.995595608220386,0.0009624288395478793,0.03266856481978093,47227.33848339844,1.5490005446878504e-06,9.27039623260498,1.2395935300446581e-05
101,0.8895376133888426,0.019096199540253173,0.6481990219508548,37103.43998876953,1.7262871128489463e-06,19.9488582611084,3.497526267892681e-05
102,0.884784226211539,-0.016318172297318294,-0.5539020107561685,40959.610700683595,1.634835228134409e-06,16.69199562072754,2.5563353119650856e-05
103,0.6289706738654443,-0.035525145546669024,-1.205861121710259,43783.01765966797,1.576691876378088e-06,14.348176956176758,3.9137990825111046e-05
104,0.24382091804722994,-0.0315081944042349,-1.069510231772101,31707.79533203125,1.8586411794845925e-06,11.191643714904785,3.9330017898464575e-05
105,0.8990310234168697,0.008667567735507689,0.29421084111558166,29201.37771044922,1.9474645903867642e-06,13.60693645477295,2.6974752472597174e-05
106,0.6198561378212126,0.017399987059189492,0.5906229964737072,31414.05242675781,1.8766252597355117e-06,11.506242752075195,2.8911797926411964e-05
107,0.9949412094231234,-0.0013557311674841123,-0.04601877011910619,29350.367668945313,1.923379831663e-06,6.95794153213501,1.1801439541159198e-05
108,0.24995099932313614,0.039053925175107564,1.325641578497612,35215.058983886716,1.7766459377931512e-06,6.549260139465332,2.9408984119072556e-05
109,0.2743793806703531,0.03568933627786902,1.2114343914675683,40876.08418359375,1.6316554393709532e-06,7.433193683624268,1.9697063180501573e-05
110,0.9808867044857722,-0.007810644814959884,-0.2651235560871915,43297.319705078124,1.5837233555974207e-06,15.78142261505127,2.2284992155618966e-05
111,0.6040879328050964,0.027589143719204956,0.9364824627829128,56748.52693701172,1.4060382226221897e-06,9.7094144821167,1.9501378119457513e-05
112,0.31142705821109334,-0.04289474289283561,-1.4560138173755592,33303.35708154297,1.8137856714393652e-06,5.064053535461426,3.237320561311208e-05
113,0.9808067176627383,-0.007927605784333509,-0.2690936646836479,42164.50757128906,1.612361024739448e-06,16.88951873779297,1.9657565644592978e-05
114,0.7346275027282078,-0.02183947294577272,-0.7413163532111035,34202.1232211914,1.7902826274906612e-06,14.335947036743164,2.951841634057928e-05
115,0.8571790798218358,-0.00851144349586285,-0.28891137934428596,26686.20052001953,2.0247406598808055e-06,7.8790483474731445,1.3934326489106752e-05
116,0.6758388344902128,0.024948252063462295,0.846840364902537,28918.21157714844,1.946011507409047e-06,14.318086624145508,3.3280401112278923e-05
117,0.8637423739714009,-0.006440821689990181,-0.21862645031599498,20317.081594726562,2.3436661286299795e-06,6.977283000946045,1.2813907233066857e-05
118,0.7388590044087389,0.013428058396731862,0.4558003439958378,37365.042406738285,1.7215536625611892e-06,7.014643669128418,1.3602303624793421e-05
119,0.3289173276306704,0.03407763394067305,1.1567269678022372,56485.13333984375,1.3965051505065627e-06,6.847469329833984,1.8808086679200642e-05
120,0.998926389083665,-0.0013733767311397008,-0.0466177289370225,39658.9715024414,1.6617922375877316e-06,8.612995147705078,1.2145758773840498e-05
121,0.7025068295083855,0.03036413396735828,1.0306763866044848,35653.062984375,1.7568415255276217e-06,11.501961708068848,3.091317921644077e-05
122,0.9978774216923301,-0.001961654370668876,-0.0665861519614351,33623.301173339845,1.8270790806769449e-06,21.143625259399414,3.10197428916581e-05
123,0.91136526195577,-0.004420897685156556,-0.15006240114022634,40686.666845214844,1.643499039479905e-06,5.699189186096191,9.057396709977183e-06
124,0.4689435390030674,-0.022167990400728137,-0.7524675088401077,22841.046224609374,2.194503717590319e-06,5.154127597808838,4.4025811803294346e-05
125,0.3685876304808202,-0.025970692979674213,-0.8815459721881169,27748.848259765626,2.014380481934223e-06,5.298486709594727,2.6744051865534857e-05
126,0.9905886653428441,0.0012586732427821898,0.042724247995384615,27272.78484863281,2.0011961294558594e-06,4.944631099700928,8.739128134038765e-06
127,0.2613451881466034,0.04398785497678171,1.4931182779884131,35361.73777246094,1.7715941005972953e-06,10.783173561096191,3.098673914792016e-05
128,0.2849110317950244,0.03995491076322962,1.3562245212334938,35688.34360400391,1.741717184750141e-06,6.472465991973877,2.6204743335256353e-05
129,0.635477924460409,-0.026089193069104552,-0.8855683244843382,44098.632641601565,1.5636688215183463e-06,9.169726371765137,1.8845845261239447e-05
130,0.5381149232364725,0.0423805368600607,1.4385596717575613,35138.708081542965,1.7755851037483717e-06,14.644831657409668,3.9227117667905986e-05
