state_idx,cos_sim,mean_A,mean_safe_delta,mean_sigma_i,mean_alpha_i,v_unbiased_norm,v_intentional_norm
0,0.4793185584581604,-0.009598279830273341,-0.4452224630555015,46333.97578173828,1.203217757809297e-06,6.320357322692871,8.340683052665554e-06
1,0.8381457634593249,-0.0100368115667297,-0.46556404334755536,48192.78072460937,1.181997865119026e-06,14.587738990783691,2.0292343833716586e-05
2,0.3209031586710726,0.047705543465089637,2.2128527130390645,37788.611435546874,1.3291375415311939e-06,23.521305084228516,5.1999541028635576e-05
3,0.3119397822070569,0.043787277794500895,2.031101407220378,35572.06849023438,1.3573921780428888e-06,22.554628372192383,7.242507126647979e-05
4,0.8988950692428181,-0.022791179817340038,-1.0571837239223305,39589.89546289063,1.274801921320037e-06,54.89067459106445,8.113619696814567e-05
5,0.8191562053884016,0.10210800382303101,4.73634627908903,23239.95853076172,1.651363861606513e-06,47.412315368652344,0.0002379767392994836
6,0.6029397454391822,0.020528643996731644,0.9522345258769263,26221.723234375,1.5827447205210783e-06,18.141420364379883,3.280462624388747e-05
7,0.28583554136005485,-0.03974624002812861,-1.843655237754684,35983.529859375,1.362146192635473e-06,30.005592346191406,4.930713475914672e-05
8,0.7431388552454956,0.03579507346584697,1.6603778026404097,33388.03396704102,1.4083489325002456e-06,24.859086990356445,4.813505074707791e-05
9,0.13280579288941846,-0.0320065196439232,-1.4846432654272765,27357.57334448242,1.5533443002688332e-06,7.64991569519043,2.749682971625589e-05
10,0.9109668213656124,-0.015454951755486352,-0.7168880058361067,42919.34686279297,1.2402928133492078e-06,23.116474151611328,2.315646270290017e-05
11,0.6727909858763296,0.04451144596245177,2.0646924194749454,43102.98564355469,1.2444871911468094e-06,34.82188034057617,4.8717178287915885e-05
12,0.8410327929476215,-0.032911355761132036,-1.5266146782105006,55941.24380761719,1.1106970088874832e-06,48.39418029785156,4.592480036080815e-05
13,0.9881095011374387,-0.015117047035922756,-0.7012140752795417,51853.282700683594,1.1488291411693772e-06,45.3843994140625,4.6944052883191034e-05
14,0.960084184950323,-0.03298471867088485,-1.5300176645741663,52039.66660302734,1.1474169244065028e-06,66.99381256103516,6.01609172008466e-05
15,0.8100546930573156,-0.09680574578145237,-4.490397585492726,59755.141306640624,1.0535334581817504e-06,85.31072998046875,0.00012619960762094706
16,0.694663308558705,-0.014715568537131756,-0.6825912335561968,30727.999275390626,1.4383340713512373e-06,12.173223495483398,2.752195723587647e-05
17,0.9785627858439523,0.012990099016874456,0.6025542057428213,23310.45814550781,1.640379990150566e-06,67.2076416015625,9.224109817296267e-05
18,-0.11911214630991147,0.08777359248566514,4.071435270561892,29923.275971191408,1.467560469902734e-06,23.038984298706055,9.413914085598662e-05
19,0.5096720980418625,0.011372718482165471,0.5275309559423773,19908.870259765627,1.8103466366074563e-06,6.350737571716309,1.275316571991425e-05
20,0.8438296209591881,0.016144900609275068,0.7488917329099176,25547.003129394532,1.6078617648453032e-06,12.67397689819336,2.230980317108333e-05
21,0.9887479022117046,-0.002619577055457513,-0.12151078833062715,60605.418452148435,1.0622109993721034e-06,13.73225212097168,1.2034231076540891e-05
22,0.8210938105454022,-0.015651902220009388,-0.7260236814431362,59188.698728027346,1.0887790109694942e-06,17.544178009033203,1.6057158063631505e-05
23,0.8880269268972832,-0.02106374273555999,-0.9770554294858871,44669.39398828125,1.2439189865944495e-06,26.3526554107666,2.896435762522742e-05
24,0.8852895941941378,-0.029929911172546248,-1.3883184286047148,57065.3199609375,1.0954891252611671e-06,37.95043182373047,4.232863284414634e-05
25,0.9134305676345934,0.007911311129560538,0.3669713208393754,36143.87000634766,1.3369502675896715e-06,9.884429931640625,1.4534665751853026e-05
26,0.8067074634333447,0.029601535449313418,1.3730865067509435,20945.63596386719,1.741373007201146e-06,11.765721321105957,4.207922029308975e-05
27,0.7517821672427721,0.009294124070958332,0.43111400000698374,14509.01890649414,2.106062769131725e-06,7.6396050453186035,1.4950894183130004e-05
28,0.38878952171255293,0.017179474416457376,0.7968811129646244,18763.77098046875,1.8551274823676894e-06,4.531635761260986,1.4581803043256514e-05
29,0.2410989494566829,-0.028879061258935367,-1.339574070749691,25670.22095288086,1.5909666654051121e-06,4.640435218811035,1.9305800378788263e-05
30,0.9958919617803151,0.0004814645945383984,0.02233304888427071,48815.74155712891,1.1733816606107159e-06,19.018211364746094,1.7483875126345083e-05
