state_idx,cos_sim,mean_A,mean_safe_delta,mean_sigma_i,mean_alpha_i,v_unbiased_norm,v_intentional_norm
0,0.9730103254219018,-0.004467148280785347,-0.235797862355226,42711.84747851563,1.671526131308544e-06,25.904075622558594,3.595580710680224e-05
1,0.8155253083942396,-0.018471693792916792,-0.9750260427183186,49102.35597167969,1.5253595115331484e-06,40.98306655883789,7.73178253439255e-05
2,0.7359192359019388,-0.07667118411215255,-4.047078847964988,48206.61440917969,1.529476396080922e-06,76.8702392578125,0.0002562910958658904
3,0.6568093145063935,0.05567553110090273,2.938825934109528,45318.421103515626,1.5884333758901422e-06,45.65150833129883,0.0001437382015865296
4,0.6684640868334472,0.02222503798916428,1.17314584589686,61138.14503320312,1.383196505885777e-06,28.156715393066406,5.4248037486104295e-05
5,0.8922172933946599,0.027122153960625325,1.4316394989378876,43979.036578125,1.6044898281753811e-06,26.174890518188477,7.77783861849457e-05
6,0.9207486861914461,0.007235144824049298,0.3819062131157584,53299.257143554685,1.4608082403442256e-06,21.800018310546875,2.879917883547023e-05
7,0.8653983316986019,-0.006313581420263697,-0.3332616043007477,53627.16443457031,1.4653437431535158e-06,12.818456649780273,2.1802328774356283e-05
8,0.6055497362590385,-0.05546889981653421,-2.9279189276509814,59259.325764648434,1.4247105071132794e-06,36.20336151123047,0.00012089210213162005
9,0.8323895866049063,0.0343420646712252,1.8127415812837535,56916.83975927735,1.488580278541435e-06,75.71475982666016,0.00011559282575035468
10,0.7776623492524171,0.03445549585013051,1.8187290318515692,49723.82801953125,1.5754748645910216e-06,23.18828773498535,9.300650708610192e-05
11,0.5544723863229896,0.036604026152140416,1.9321389346744717,39311.24871679687,1.7425791328518906e-06,19.955810546875,6.425171886803582e-05
12,0.08767587621478659,-0.0300506682140401,-1.5862207569190117,35357.448935546876,1.8162618394895042e-06,4.904740810394287,4.410401015775278e-05
13,0.3961378757194084,-0.018439142339511792,-0.9733078183283941,25326.513135253907,2.108332844830056e-06,8.737931251525879,2.7669173505273648e-05
14,0.248040503916791,-0.017454402322423897,-0.9213284398950119,23907.066395507813,2.177676042998334e-06,10.962888717651367,1.747820533637423e-05
15,0.6670058818334902,-0.036918157340645075,-1.9487203101052162,20121.703437988283,2.35987901491909e-06,8.859415054321289,6.278599903453141e-05
16,0.21058706201344038,-0.0061794864446342804,-0.32618341781161836,22737.02176220703,2.2289348737278196e-06,3.0083682537078857,1.0045816452475265e-05
17,-0.12121095539320045,-0.02009556691233784,-1.0607419818875192,24301.174779296874,2.1902750117415457e-06,6.013846397399902,2.6129504476557486e-05
18,0.4339189527714634,-0.04130303193095074,-2.1801753660157512,29749.192482177736,1.99871282531354e-06,12.64604377746582,6.142038182588294e-05
19,0.8861693655414455,0.052994371240583954,2.7973012467793237,48977.82959960937,1.596324719273542e-06,16.265382766723633,7.901174103608355e-05
20,0.4489915564681336,0.02164719910865479,1.1426446929810399,51835.739262695315,1.5623677063260541e-06,13.091550827026367,3.914526678272523e-05
21,0.880172364384006,-0.021190729482111485,-1.1185500009306397,57081.58525292969,1.498824912524446e-06,46.74586486816406,6.915354606462643e-05
22,0.518311043652705,-0.12012782510542842,-6.340932198530615,48102.341446289065,1.600040725991588e-06,56.69380569458008,0.0002531642676331103
23,0.9975774843354184,0.00028188650957502006,0.014879344093068748,43296.59618945313,1.6246046781991583e-06,23.909568786621094,3.520101017784327e-05
24,0.5031753477127119,-0.0229682872334617,-1.2123781641425522,35539.33354296875,1.785470807439214e-06,33.09212875366211,6.259440851863474e-05
25,0.986118356284424,0.0033055377339659127,0.17448239516837144,41226.560383300784,1.6527387619624215e-06,22.79206657409668,3.606425889302045e-05
26,0.9620276573372112,-0.0053056904458628545,-0.2800602054859622,34183.241630859375,1.8405193783182292e-06,18.28668975830078,2.755845162027981e-05
27,0.994129325987629,0.0017147916931270588,0.09051506469195902,33497.81784716797,1.838964048218102e-06,12.486551284790039,2.0302499251556583e-05
28,0.7387953842638952,0.007195663645183836,0.37982220403556205,42039.76628857422,1.6761716085713528e-06,8.468313217163086,1.6651181795168668e-05
29,0.9826035726799309,0.002646024626515706,0.1396700784156642,50195.56721386719,1.5496993962604278e-06,12.753747940063477,1.7116421076934785e-05
30,0.8224632246315602,0.012195109548110317,0.64371732968906,57579.22149951172,1.4770100940319232e-06,17.25162696838379,2.5623347028158605e-05
31,0.991051370564165,0.0015407414159559324,0.08132784261656575,46427.20310058594,1.6410393643181e-06,31.972278594970703,4.5614346163347363e-05
32,0.9670750353077145,0.006987658985218064,0.3688427041181713,44210.36242089844,1.6729810183560752e-06,21.13317108154297,3.242582897655666e-05
33,0.9867252754551289,0.0010241596547016227,0.05406013906631573,25596.565109375,2.0930607230412796e-06,3.9940102100372314,7.602655841765227e-06
