state_idx,cos_sim,mean_A,mean_safe_delta,mean_sigma_i,mean_alpha_i,v_unbiased_norm,v_intentional_norm
0,0.9914515282084881,0.0028611094336449825,0.18057502006596735,37601.49869238281,2.2823378542023367e-06,26.282987594604492,5.723212962038815e-05
1,0.7337308116776449,-0.019104300549548335,-1.2057418756912257,74416.47483007812,1.660732832360955e-06,41.02326583862305,7.802037725923583e-05
2,0.9242219974234331,0.007649179836908642,0.48276755383602776,64730.542515625,1.7918131884241845e-06,29.808927536010742,5.4360541980713606e-05
3,0.9057424320305507,-0.01240526307331155,-0.7829412611921767,66831.31497070313,1.7520919705811908e-06,54.920562744140625,6.639385537710041e-05
4,0.9948979996067987,0.0017876824679989652,0.11282714101544807,72627.10514160157,1.6803378102470678e-06,46.06142807006836,7.341493619605899e-05
5,0.862652951393956,-0.007046755459488626,-0.444746360811523,58545.095453125,1.8442684588169853e-06,37.97618865966797,6.205234240042046e-05
6,0.9316714775259285,-0.004704813543359872,-0.29693789059879133,49414.71151611328,2.000582154743393e-06,22.050792694091797,4.221520066494122e-05
7,0.5942774977574214,-0.030431365134930756,-1.920634109711149,35453.176622558596,2.3686836644003305e-06,28.884469985961914,0.00010412692790850997
8,0.5755851640314834,0.03513086827980702,2.2172368417517045,43925.58802294922,2.1303040754109688e-06,46.97314453125,0.00012606610835064203
9,0.01242134370204965,-0.0251621877676899,-1.5880771660193818,47670.29046191406,2.0473746820487717e-06,23.40703582763672,9.578720346326008e-05
10,0.9962162822433577,0.0005441330069525141,0.034342212672315936,44986.8815,2.092585520441449e-06,15.079959869384766,2.6298574084648862e-05
11,0.5234222939269502,-0.016223388014794202,-1.0239170099052373,48951.30268066406,2.022902033195141e-06,19.274211883544922,5.825913103763014e-05
12,0.9954006521959793,-0.0009318697235494842,-0.058813686764312506,66389.73157470702,1.7805764732282566e-06,49.540775299072266,6.852341175545007e-05
13,0.8478800759266891,0.012296648693295248,0.7760862127203293,61042.37299609375,1.8199922452167096e-06,21.386791229248047,5.202853208174929e-05
14,0.9774562517252784,-0.0052123425898139,-0.3289698942229035,91518.60732421876,1.5453295291231782e-06,54.62638854980469,7.262415601871908e-05
15,0.9026854184472485,0.007389444010618979,0.46637468137453836,48417.466732421875,2.0356088275728907e-06,22.471921920776367,4.6927227231208235e-05
16,0.6550315063659061,-0.021306691211165636,-1.3447427587885168,46422.94737939453,2.0813893549528386e-06,13.583280563354492,6.357459642458707e-05
17,0.988147705664895,0.002016502135815954,0.1272687822968517,21811.37481689453,2.983128720264787e-06,20.12506103515625,5.305126978782937e-05
18,0.8865188607126718,0.009413540116909508,0.594122746761614,22052.24206616211,2.977767876965274e-06,14.526056289672852,4.90102065668907e-05
19,0.966416637591287,0.002320524316138287,0.14645672759758935,35337.39872363281,2.380077692753697e-06,9.510984420776367,2.1501871742657386e-05
20,0.27116990585478423,-0.019558773007548352,-1.2344252850909956,30789.778572753905,2.515461476810893e-06,10.007554054260254,3.751760959858075e-05
21,0.857679947760249,0.02058074280802309,1.298925515336448,43368.298899169924,2.1707819695608355e-06,24.58039665222168,5.711001722374931e-05
22,0.9053971116542607,-0.030406733638541142,-1.9190795264077263,55860.13315332031,1.9622515479420285e-06,60.14937973022461,0.00010662184649845585
23,0.9970484428753579,-0.0012691333012776233,-0.08009961752935557,57982.57535302734,1.937173013811496e-06,44.35336685180664,6.60113146295771e-05
24,0.9550711319136113,-0.011390848214739993,-0.7189178508018897,44027.07690869141,2.1843154617311483e-06,33.533870697021484,5.939643597230315e-05
25,0.7837621962563985,0.04399843664056055,2.7769013256926205,31488.583150390627,2.5744779843721836e-06,45.21636199951172,0.0001675656094448641
26,-0.08521720471977551,-0.011467919606142818,-0.7237821065641544,18161.133237304686,3.2962042404433045e-06,10.670698165893555,2.2779282517149113e-05
27,0.947586464214166,-0.0023350829992738816,-0.14737557902928553,19172.409849365235,3.235475381707671e-06,5.8896894454956055,1.2920468179800082e-05
28,0.9497895637642562,0.0021217957859645557,0.13391424743174526,15791.665770507812,3.5064823384574112e-06,3.112689733505249,1.1492484190966934e-05
29,0.7947336408509275,0.011733051521848835,0.7405155458502389,12937.77586352539,3.861389494241517e-06,4.399154186248779,3.379596819286235e-05
30,0.395683213183686,0.007485514276075368,0.47243802516297545,14871.659058349609,3.636337393642505e-06,4.025062561035156,1.479559978179168e-05
31,0.5985204170533959,-0.013308342016017055,-0.8399378570869542,16177.82571508789,3.4717786065841796e-06,5.505833625793457,2.6747098672785796e-05
32,0.7635420851901059,0.013044103940074412,0.823260831278561,15639.919271240235,3.543532240031486e-06,6.734874248504639,3.1123159715207294e-05
33,0.9975034155645132,0.0008019435838799036,0.05061357564586468,18961.537160400392,3.2278347095282668e-06,6.654303073883057,1.8834824004443362e-05
34,0.9277796036059653,0.003512322338195097,0.2216754344449251,22947.92128442383,2.9382018040808636e-06,4.39803409576416,1.3507964467862621e-05
35,0.9888418927493066,-0.0029227817821484824,-0.18446738623608874,57405.191994628905,1.9697206618330864e-06,16.440656661987305,2.4636470698169433e-05
36,0.9811688636729099,0.003837797113184006,0.2422173310020636,43589.76116845703,2.2681979258044134e-06,24.540029525756836,4.6929730160627514e-05
