state_idx,cos_sim,mean_A,mean_safe_delta,mean_sigma_i,mean_alpha_i,v_unbiased_norm,v_intentional_norm
0,0.7406768888849676,-0.011142886780997877,-0.5418924508333548,43980.853295898436,1.285230375238565e-06,10.594176292419434,1.717407394608017e-05
1,0.5205369329414449,-0.05174094933696627,-2.516226754853755,67052.33964355469,1.0409136962329317e-06,52.4268798828125,8.382184023503214e-05
2,0.7549771256151844,0.041759114288198014,2.030797694619966,52348.673626953125,1.1726790473681556e-06,29.90526580810547,6.6531021730043e-05
3,0.7919454732557075,0.08658452766558257,4.210713329777652,58455.81102539063,1.11405283900788e-06,90.20161437988281,0.00016897980822250247
4,0.510139077888415,-0.03669623746359542,-1.7845836941842907,81560.96933300782,9.459801022400716e-07,60.068119049072266,6.664312240900472e-05
5,0.6599757905762375,0.07823464804645379,3.804648292960686,49172.64727832031,1.2245574120295422e-06,56.079254150390625,0.00013700744602829218
6,0.9063220373964913,0.009759064981881636,0.4745954746567228,34980.95035791016,1.4265026890541402e-06,15.041224479675293,2.5851546524791047e-05
7,0.7332752396899442,-0.006368951361788959,-0.3097300305127196,35433.39439794922,1.4120225688784567e-06,12.294788360595703,1.136582977778744e-05
8,0.8040629678052593,0.06690872329056351,3.253854477628217,42878.635381835935,1.3093245343728628e-06,74.28649139404297,0.00016051404236350209
9,0.5792110464077393,-0.05740178734726175,-2.791520351877535,34556.71531347656,1.4923189675608002e-06,33.43195724487305,7.586532592540607e-05
10,0.9111884736759661,0.029159571415595466,1.418066245328233,56270.26170019531,1.1502994603493405e-06,57.25893020629883,5.878756201127544e-05
11,0.019651289350161947,0.04446621708045701,2.162447472239234,28539.508596191405,1.578089370456109e-06,7.067756652832031,4.7692039515823126e-05
12,0.9570036994942123,0.002753338561875659,0.13389828063344741,18229.49669921875,1.9841387557838043e-06,6.721045017242432,1.2492793757701293e-05
13,0.8307962711414226,0.009625809096990196,0.4681150751452666,21796.892459472656,1.815647887969597e-06,7.02229118347168,1.4338564142235555e-05
14,0.9906917358853715,0.0009135207974801522,0.04442565320487167,30399.475523925783,1.5572336922548285e-06,4.307504177093506,6.003787348163314e-06
15,0.500204021583437,-0.04478022126661751,-2.1777178865721347,32616.52697705078,1.503761011283611e-06,6.224492073059082,2.7344378395355307e-05
16,0.8534586046770098,0.01662185466010479,0.8083414770506516,32174.8552253418,1.5216241766069787e-06,10.068342208862305,1.5103292753337882e-05
17,0.7170081892109218,0.023175153666022023,1.127036562907232,48066.577753417965,1.2647542590475502e-06,6.543548107147217,1.5795440049259923e-05
18,0.7885727156134309,0.04566450223049322,2.220721570281553,38064.15726660156,1.4284246418656104e-06,7.705714225769043,4.4758991862181574e-05
19,0.876435158384211,-0.044088612876281415,-2.1440841098837415,43328.68237353516,1.314194079845271e-06,97.7163314819336,9.773359488463029e-05
20,0.3821942182093403,0.021696111432388875,1.0551088985037598,24115.02233203125,1.7126927582688666e-06,5.173829078674316,2.927395144070033e-05
