state_idx,cos_sim,mean_A,mean_safe_delta,mean_sigma_i,mean_alpha_i,v_unbiased_norm,v_intentional_norm
0,0.7581943503497826,0.022512549474202864,1.2008170747346474,33843.25822070312,2.409336341139574e-06,22.38138198852539,6.778439274057746e-05
1,0.9819935390638777,0.00560985648202892,0.299229168075807,30942.585785644533,2.474871763169174e-06,34.11103820800781,7.938119961181656e-05
2,0.8969670244870455,0.013083520794751944,0.69787365424725,52667.79675292969,1.959208718343989e-06,33.02656936645508,6.199436757015064e-05
3,0.9243653060528659,0.0071625042456077564,0.3820472401777916,56409.180875,1.8396526461667506e-06,24.36730194091797,4.8574776883469895e-05
4,0.877338825435721,-0.01577157405734232,-0.8412541389503931,58363.268104492185,1.841923190918661e-06,62.77879333496094,8.450591121800244e-05
5,0.9966618436758575,-0.0012186229651365954,-0.06500122368977507,54928.693298828126,1.936114675575813e-06,51.74639892578125,8.071590855251998e-05
6,0.93869423605436,-0.011537316431575429,-0.6153992724603637,61054.464612304684,1.8334169408157215e-06,47.98646926879883,6.712169124512002e-05
7,0.7592040590382386,0.03760650992188429,2.0059273734022782,83984.48395410157,1.5916948680019827e-06,17.928373336791992,9.188296826323494e-05
8,0.19320743536223056,-0.08511133254235786,-4.539829728631873,49869.26522216797,1.997771986728651e-06,61.82590866088867,0.0001873652363428846
9,0.8456439446736808,-0.03645946353863711,-1.9447440372326366,62062.380259765625,1.7575654162980415e-06,149.78646850585938,0.00022848046501167119
10,0.984044252237386,0.004234488174415267,0.22586716393123418,41899.060849121095,2.1438282368561115e-06,25.870637893676758,4.7868306864984334e-05
11,0.9987372704346091,-0.0013839443749736047,-0.0738194506959598,29450.426094238283,2.5890185427123456e-06,26.282424926757812,5.4744868975831196e-05
12,0.9821472492843991,0.006473006815359323,0.3452695181265091,23812.027483642578,2.854828268520468e-06,28.761003494262695,6.389345071511343e-05
13,0.4675126664862179,0.034073777523885365,1.8174917904468038,21277.546217041017,3.025803730054716e-06,11.920235633850098,5.252455230220221e-05
14,0.41428995453812134,-0.025848607038141173,-1.3787620422588838,23363.548813720703,2.9045245119636698e-06,5.631161212921143,3.61665224772878e-05
15,0.3672741450253262,-0.02181047436106914,-1.1633684603712098,28249.45617504883,2.632664508386777e-06,7.742382049560547,3.2855554309207946e-05
16,0.7961803442336596,-0.016317904794606135,-0.8703953643149626,42607.304483642576,2.2033980614345482e-06,15.450495719909668,3.107927841483615e-05
17,0.5360604680418181,-0.0435000343662068,-2.32028736142665,63193.75869726563,1.8377545429330024e-06,29.846620559692383,5.5829426855780184e-05
18,0.9511625401817867,-0.019394992319314942,-1.0345268965680032,48479.63220996094,2.0439416852499534e-06,53.286258697509766,0.00010644618305377662
19,0.9983968948498899,0.011576684886970726,0.6174991818241954,47081.17031445313,2.015988364891502e-06,402.13873291015625,0.0007079844945110381
20,0.9386773313913546,0.0684726114569425,3.652322056344052,40995.812725585936,2.1553325252826545e-06,153.36178588867188,0.0003305395948700607
21,0.5231246567049658,0.09734659869796192,5.192457567624884,38413.323688476565,2.21733218879241e-06,36.948734283447266,0.0001904246601043269
22,0.6626432510580732,-0.009508310535621409,-0.5071723065456057,35968.68701171875,2.3373552791651214e-06,8.32175350189209,2.6399040507385507e-05
23,0.9352586000827976,0.0031668955421334266,0.16892188267048816,25966.960715576173,2.7680377654643516e-06,4.442033767700195,9.939071787812281e-06
24,0.7382854038001816,0.017400687667631004,0.9281508914554325,23309.82393798828,2.9029549903027376e-06,7.051323413848877,2.813049650285393e-05
25,0.5480179039628598,-0.003502583375708201,-0.18682743720571235,21473.852452026367,3.023827272975053e-06,1.2101490497589111,5.1906222324760165e-06
26,-0.03867213525822262,-0.012301139589245388,-0.6561415211718594,26125.84349609375,2.745677823923428e-06,3.5070507526397705,1.004184377961792e-05
27,0.7418978956879093,0.013634950495498139,0.7272868577998118,32672.110124511717,2.5015296694308497e-06,7.756221294403076,2.166220838262234e-05
28,0.8752114798009566,-0.010902345185190664,-0.581529971451249,42684.15575854492,2.236760853241767e-06,12.55205249786377,2.4111384846037254e-05
29,0.791991766507098,0.031839185074539325,1.6982988589077663,58408.81143554687,1.9084467699086838e-06,12.829133987426758,4.5464763388736174e-05
30,0.9651232079307638,-0.007987287751607881,-0.426041107602686,51212.287297363284,2.053841278279382e-06,18.908458709716797,3.004382233484648e-05
31,0.956526233142894,-0.01615314056029385,-0.8616068569939905,24540.2818125,2.8313004224537873e-06,37.78599548339844,0.00010564726835582405
32,0.6482545729496149,0.010332074277954803,0.5511117798813452,38338.05722216797,2.2520957030584366e-06,6.553393840789795,1.5138389244384598e-05
33,0.8266072158830345,0.014496674630926396,0.773251134601022,19637.650345458984,3.1463660283385765e-06,8.125812530517578,3.163198925903998e-05
34,0.843276769088579,0.0074314846373170285,0.3963946266212254,21144.02388745117,3.0461633947137635e-06,5.493797302246094,1.6769556168583222e-05
35,0.7159647867325332,0.004620750148706591,0.2464703379334164,20788.391282958983,3.111946244778751e-06,3.058608293533325,9.263425454264507e-06
36,0.9716913149693912,0.0012747859367981524,0.06799695082482554,18541.849595214844,3.2185011702951948e-06,1.9543404579162598,5.7371080401935615e-06
37,0.8800535177409449,0.010128645629460004,0.5402609166824581,17805.212489013673,3.293144401169107e-06,4.015089988708496,2.3602064175065607e-05
38,0.6604874732438298,0.0076843519464333526,0.4098825428955254,19059.778602539063,3.1848083406655076e-06,1.6672029495239258,1.4961254237277899e-05
39,0.3056301596332512,-0.004012638904970597,-0.2140337467044632,20953.19538745117,3.0868996132722447e-06,1.073324203491211,5.785627763543744e-06
40,0.9789362516464063,-0.0012634943703813556,-0.06739465983289114,30249.249942871094,2.5968905415816816e-06,2.7911643981933594,5.06545939060743e-06
41,0.8115902466878645,-0.014846790781715184,-0.7919262940932562,48498.21170654297,2.0963459690712473e-06,16.050207138061523,2.7199379474041052e-05
42,0.8900150850494226,0.010987138344570291,0.586052829856088,42476.84884375,2.1829814117071236e-06,16.056781768798828,3.024373836524319e-05
43,0.664756582639236,0.059390218401946866,3.1678681444320462,36338.892124511716,2.3897612887689494e-06,40.36564636230469,0.00010794580157380551
44,0.9943812363870709,0.0002196050821607627,0.011713712507742812,43433.93887158203,2.144738106497898e-06,12.269357681274414,2.2412428734241985e-05
45,0.967704541672836,-0.0045475711654642545,-0.24256697848983963,21330.909607421876,3.033450640780299e-06,9.071455955505371,2.326899630133994e-05
46,0.6574574903662713,-0.014345187108689811,-0.765170805737364,20693.89925,3.080294814191791e-06,6.327865123748779,2.2507256289827637e-05
47,0.9568616803180265,-0.0013686322233041185,-0.07300270209995048,20049.846135742187,3.14141193262428e-06,1.9646289348602295,5.260844318399904e-06
48,0.1556586117834593,-0.0051732104344034266,-0.27593851278130443,22337.396736816405,2.9716378913573174e-06,0.9870703220367432,6.054819095879793e-06
49,0.7730459926197056,0.0028012450814768764,0.149418124686786,21010.305756591795,3.0899561075241734e-06,1.6070891618728638,6.956456672924105e-06
50,0.17006032655928344,-0.019444827747812313,-1.0371851132011276,22587.012725830078,2.9903013544369657e-06,3.7740511894226074,3.2491530873812735e-05
51,0.7165544073774511,0.02509836809598547,1.338744374206504,20797.75383129883,3.0621213859607245e-06,13.553340911865234,5.392483217292465e-05
52,0.6005198392353869,0.011652345040932292,0.6215348866588792,22500.473669433595,2.9568744259657576e-06,2.4187612533569336,2.185161974921357e-05
53,0.9787821566413593,0.0037907008228263445,0.20219559221742608,34112.59728125,2.4073476909093104e-06,10.696146011352539,2.2658843590761535e-05
54,0.9901804184932722,-0.006523735074861229,-0.3479753582736351,52891.943758789064,1.9944850581666943e-06,35.97578811645508,5.669054371537641e-05
55,0.9589783096623928,-0.02498089012822814,-1.332478111482694,46239.378207519534,2.1279865049175463e-06,51.99502182006836,9.406087337993085e-05
56,0.9643891119051573,-0.02084979130461566,-1.1121257248951801,43407.26781738281,2.1952972016943043e-06,68.62041473388672,0.00012815553054679185
57,0.16965499630078193,0.11975831267183613,6.387896087137575,46173.690984375,2.0545698977578664e-06,40.255699157714844,0.0001322206953773275
